username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
MiguelEcaMatos;2017-06-10 11:32;0;0;"Tínhamos o PEC 4 que nos ia salvar...";;;#ironia;"873563555206967296";https://twitter.com/MiguelEcaMatos/status/873563555206967296
PaulaReRJ;2017-06-10 10:03;0;0;"Em 2020? Nossa! Que máximo! Isso é realmente animador.  sqn  SarcasmoModoOn";;;#ironia #sqn #SarcasmoModoOn;"873541214301286402";https://twitter.com/PaulaReRJ/status/873541214301286402
Simulacoes;2017-06-10 10:03;0;0;"Tão legal acordar com dor de garganta, né? ";;;#Ironia;"873541088916774912";https://twitter.com/Simulacoes/status/873541088916774912
sacul_pedraza;2017-06-10 09:28;0;0;"Bravo         ";;@JuanManSantos @PoliciaColombia @ELTIEMPO @elheraldoco @RevistaSemana @NoticiasRCN @NoticiasCaracol;#ironia;"873532380111351809";https://twitter.com/sacul_pedraza/status/873532380111351809
itscw;2017-06-10 04:45;0;0;" cancelais Sense8 pero poneis esto. Maaaaaquinaaaaas  ";;@NetflixES;#Sense8 #ironia;"873461006974029824";https://twitter.com/itscw/status/873461006974029824
_bruh_nynha;2017-06-09 21:26;0;0;"Não entendi o por que da Irônia mais tudo bem né";;;#Ir;"873350693968637953";https://twitter.com/_bruh_nynha/status/873350693968637953
marcotds;2017-06-09 21:15;1;2;"Ajudo td mundo nos relacionamentos e a fazer surpresa p namo, mas eu msm n consigo resolver o meu e nem tenho p qm fazer surpresa ";;;#ironia;"873347742550110212";https://twitter.com/marcotds/status/873347742550110212
golecaneta;2017-06-09 20:54;0;1;"Merece prêmio Puskas. ";;;#ironia;"873342464433823745";https://twitter.com/golecaneta/status/873342464433823745
AdrianaGPaz1;2017-06-09 20:19;0;0;"Eu prefiro " Violência gratuita ", o original alemão de 1997.Para relaxar.Dose cavalar de  ";;;#Ironia;"873333844619005952";https://twitter.com/AdrianaGPaz1/status/873333844619005952
ciberstar;2017-06-09 19:31;0;0;"Opaaa ... spoiler la atras. Queeeeeeem diria?  ";;;#ironia;"873321637155938304";https://twitter.com/ciberstar/status/873321637155938304
brjordao;2017-06-09 18:58;0;0;"Seus LGBTfobicos cantando musicas daquela cantora LGBTfobica, Avril Lavigne. Lê a letra de sk8ter boy. LGBTFOBIA! ";;;#ironia;"873313469654847488";https://twitter.com/brjordao/status/873313469654847488
Rafa_Marx;2017-06-09 15:01;0;0;"tem as camisetas "maravilhosas" tbm ()uma mais sem graça q a outra";;;#ironia;"873253769336815617";https://twitter.com/Rafa_Marx/status/873253769336815617
luizfsilvas;2017-06-09 14:54;0;0;"ABSURDO APOSTO QUE NEM SÃO SÓCIOS! QUER TIME BOM MAS NÃO SÃO SÓCIOS! ";;;#ironia;"873251957544275971";https://twitter.com/luizfsilvas/status/873251957544275971
AGameofPwns;2017-06-09 10:53;0;2;"... Menos como sacerdotisas da Igreja Católica. ";;;#ironia;"873191450414108672";https://twitter.com/AGameofPwns/status/873191450414108672
Cyber_Woo;2017-06-09 08:15;0;0;"5 MOTIVOS PARA AMAR O BRASIL:  Old Corrupção  Brasil";;;#Old #Corrup #Ironia #Brasil;"873151495369306113";https://twitter.com/Cyber_Woo/status/873151495369306113
darciocv;2017-06-09 06:58;0;0;"O Mercado sempre ferrando o Brasil. ";;;#ironia;"873132084801527810";https://twitter.com/darciocv/status/873132084801527810
Israel_MarinhoO;2017-06-08 21:36;0;0;"Acabando o jogo assim, quero ver a justificativa do Mano pela escalação inicial. Torcida o "elogiando" mto agora.  Cruzeiro";;;#Ironia #Cruzeiro;"872990674852990982";https://twitter.com/Israel_MarinhoO/status/872990674852990982
pedrobandR;2017-06-08 19:58;0;1;"Adorei a motivação da Mulher Maravilha no fim do filme";;;#ironia;"872966093282979842";https://twitter.com/pedrobandR/status/872966093282979842
Peachpri;2017-06-08 19:56;0;0;"TSE: DIlma/Temer: Dilma fez cx2. Apesar de Temer e cia ter recebido malinha de . Ela já está fora mesmo. Pra q complicar. ";;;#ironia;"872965551060013057";https://twitter.com/Peachpri/status/872965551060013057
CrisMCanan;2017-06-08 18:22;0;0;""feminista pra mim é desocupada", "mulher de grelho duro". Não, não foi o  que falou isso. Foi teu ídolo luladrão ";;@jairbolsonaro;#ironia;"872941942237048834";https://twitter.com/CrisMCanan/status/872941942237048834
ricardo_fly;2017-06-08 10:32;0;1;"Confundiu com Justin Bieber...RT : Ah, por favor! Só porque tem as iniciais JBS!? Imagina!  ";;@DanielScola;#ironia;"872823680186888192";https://twitter.com/ricardo_fly/status/872823680186888192
DanielScola;2017-06-08 10:27;4;41;"Ah, por favor! Só porque tem as iniciais JBS!? Imagina!  ";;;#ironia;"872822412722810881";https://twitter.com/DanielScola/status/872822412722810881
AleRibeiro1974;2017-06-08 06:54;0;1;"Vai "transformar " o Márcio Araújo de 1° volante para meia de contenção...  ";;;#ironia;"872768869487738881";https://twitter.com/AleRibeiro1974/status/872768869487738881
luishiroshi71;2017-06-08 05:20;0;0;"Eu estava pensando em novas formas de me vingar mas lembrei q não tenho um death notevingativo  vaitomarnocu";;;#vingativo #ironia #vaitomarnocu;"872745090489430016";https://twitter.com/luishiroshi71/status/872745090489430016
JooSilv1;2017-06-07 23:33;0;0;"Só sendo .lol";;;#ironia;"872657893279105024";https://twitter.com/JooSilv1/status/872657893279105024
NacaodoFlamengo;2017-06-07 23:27;0;13;"Flamengo podia aproveitar que tá FODA a situação e ir atrás do Argel FUCKS. De repente engrena. ";;;#ironia;"872656306540343297";https://twitter.com/NacaodoFlamengo/status/872656306540343297
Carioca_eventos;2017-06-07 22:10;0;0;"_Não se preocupe, quando sua paciência pra Falsidade e  acabar, vão dizer que está ignorante, metido(a),... ";;;#Falsidade #Ironia;"872636940432134144";https://twitter.com/Carioca_eventos/status/872636940432134144
AleRibeiro1974;2017-06-07 20:55;0;1;"Tudo "falso Rubro Negro "...  ";;;#ironia;"872618077506109440";https://twitter.com/AleRibeiro1974/status/872618077506109440
rvictorlucena;2017-06-07 18:22;0;0;"Era uma ";;;#ironia;"872579471311876097";https://twitter.com/rvictorlucena/status/872579471311876097
pequenatixa;2017-06-07 16:14;1;0;"Adoro a puta da vida ";;;#ironia;"872547344541241345";https://twitter.com/pequenatixa/status/872547344541241345
