username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
noticiaminutobr;2017-06-10 12:27;0;0;"Bradesco e Itaú reduzem projeções para o PIB  economia";;;#economia;"873577314491215873";https://twitter.com/noticiaminutobr/status/873577314491215873
noticiaminutobr;2017-06-10 12:27;0;0;"Moodys rebaixa nota de risco da JBS  economia";;;#economia;"873577281519857668";https://twitter.com/noticiaminutobr/status/873577281519857668
jornal_opopular;2017-06-10 12:16;1;1;"Contra a corrente, empreendedores voltam à sala de aula para solucionar seus negócios   Economia ";;;#Economia;"873574683165298688";https://twitter.com/jornal_opopular/status/873574683165298688
3RAIntercambio;2017-06-10 11:06;0;0;"Economizando em Vancouver: Saiba onde fazer suas compras de mês   economia canada vancouver compras intercambio";;;#economia #canada #vancouver #compras #intercambio;"873557035199188993";https://twitter.com/3RAIntercambio/status/873557035199188993
24BrasilNoticia;2017-06-10 11:04;0;0;"Sobrevida de Temer não aumenta chances de reforma da Previdência  notícias Economia ";;;#not #Economia;"873556367713423361";https://twitter.com/24BrasilNoticia/status/873556367713423361
elnuevoparquet;2017-06-10 10:56;0;0;"¿Os acordaís de esto? Banco de China: crisis deuda e  elnuevoparquet, bolsa,economía, forex, remember, oldpost";;;#elnuevoparquet #bolsa #econom #forex #remember #oldpost;"873554356343365632";https://twitter.com/elnuevoparquet/status/873554356343365632
FGV;2017-06-10 10:35;1;1;"Dia dos Namorados mais caro:  Inflação DiadosNamorados Economia ";;;#Infla #DiadosNamorados #Economia;"873549069792280577";https://twitter.com/FGV/status/873549069792280577
tribunamadeira;2017-06-10 10:21;0;0;"Marta Pereira vence Prémio Primus Inter Pares  economia portugal martapereira";;;#economia #portugal #martapereira;"873545565463826433";https://twitter.com/tribunamadeira/status/873545565463826433
gastaoss;2017-06-10 10:19;1;0;"Diário do Gastão já saiu!  economia";;;#economia;"873545105763950592";https://twitter.com/gastaoss/status/873545105763950592
24BrasilNoticia;2017-06-10 09:44;0;0;"Agências da Caixa abrem neste sábado para saque da conta inativa do FGTS  notícias Economia ";;;#not #Economia;"873536236719407104";https://twitter.com/24BrasilNoticia/status/873536236719407104
MaisQuestoes;2017-06-10 08:58;0;0;"Economia: Moody's vê mais risco de processos e rebaixa nota da JBS ";;;#Economia;"873524718804103170";https://twitter.com/MaisQuestoes/status/873524718804103170
MaisQuestoes;2017-06-10 08:48;0;0;"Economia: Agências da Caixa abrem hoje para saque do FGTS ";;;#Economia;"873522253794861056";https://twitter.com/MaisQuestoes/status/873522253794861056
bahiaja;2017-06-10 08:33;0;0;"Competitividade do óleo de dendê bahiano motivam audiência na SDE Economia ";;;#Economia;"873518540627771393";https://twitter.com/bahiaja/status/873518540627771393
radiosociedade;2017-06-10 08:14;0;0;"Dólar termina a semana em alta, em meio ao julgamento da ... .Veja mais detalhes no site.   Economia Notícias";;;#Economia #Not;"873513597841887233";https://twitter.com/radiosociedade/status/873513597841887233
noticiaminutobr;2017-06-10 08:07;0;0;"Portaria aumenta em R$ 2,538 bilhões limites de ministérios  economia";;;#economia;"873511980505718785";https://twitter.com/noticiaminutobr/status/873511980505718785
folhape;2017-06-10 08:01;0;5;"FGTS | Mais de 2 mil agências da Caixa abrem para saque da conta inativa economia - ";;;#FGTS #economia;"873510486175887360";https://twitter.com/folhape/status/873510486175887360
viajar_e_demais;2017-06-10 08:00;0;1;"Dicas simples de como economizar no dia a dia da viagem na Alemanha (algumas polêmicas) economia viajar viagem";;;#Alemanha #economia #viajar #viagemhttp;"873510077390401538";https://twitter.com/viajar_e_demais/status/873510077390401538
noticiaminutobr;2017-06-10 07:47;0;0;"Procurador da Lava Jato critica acordode leniência entre BC e bancos  economia";;;#economia;"873506979095904256";https://twitter.com/noticiaminutobr/status/873506979095904256
noticiaminutobr;2017-06-10 07:42;0;0;"Agências da Caixa abrem hoje para saque da conta inativa do FGTS  economia";;;#economia;"873505718137171968";https://twitter.com/noticiaminutobr/status/873505718137171968
jornaltocantins;2017-06-10 07:38;0;1;"Economia: Mais de 35 mil no TO poderão sacar seu FGTS a partir de hoje ";;;#Economia;"873504518897414144";https://twitter.com/jornaltocantins/status/873504518897414144
24BrasilNoticia;2017-06-10 07:26;0;0;"Caixa abre agências hoje para pagar FGTS; veja endereços  notícias Economia ";;;#not #Economia;"873501604720377858";https://twitter.com/24BrasilNoticia/status/873501604720377858
noticiaminutobr;2017-06-10 06:42;0;0;"Economia insustentável fez crise ambiental piorar, avalia sociólogo  economia";;;#economia;"873490650087469057";https://twitter.com/noticiaminutobr/status/873490650087469057
gastaoss;2017-06-10 06:18;0;0;"Diário do Gastão já saiu!  carros economia";;;#carros #economia;"873484534255321088";https://twitter.com/gastaoss/status/873484534255321088
profcristovao;2017-06-10 04:52;0;0;"Economia - Boa notícia. [fonte: Estadão] ";;;#Economia;"873462743633846272";https://twitter.com/profcristovao/status/873462743633846272
profcristovao;2017-06-10 04:49;0;0;"Economia - SELIC. [fonte: Estadão] ";;;#Economia;"873462041016582144";https://twitter.com/profcristovao/status/873462041016582144
profcristovao;2017-06-10 04:46;0;0;"Economia - Pelo menos o combate a inflação vai bem! [fonte: Estadão] ";;;#Economia;"873461270166380544";https://twitter.com/profcristovao/status/873461270166380544
noticiaminutobr;2017-06-10 04:13;0;0;"Temor de delação de Palocci aceleraleniência de bancos  economia";;;#economia;"873452972252037121";https://twitter.com/noticiaminutobr/status/873452972252037121
marciofrade1;2017-06-10 02:37;0;0;"The marcio frade Daily já saiu!  Graças a  economia windows10";;@Jackeraser2;#economia #windows10;"873428909525790720";https://twitter.com/marciofrade1/status/873428909525790720
gms_rpg;2017-06-10 01:22;0;0;"Informações Shit já saiu!  debateseprovocações economia";;;#debateseprovoca #economia;"873410067722272769";https://twitter.com/gms_rpg/status/873410067722272769
ResumoAlargado;2017-06-10 00:58;0;0;"OResumoAlargado já saiu!  economia internacional";;;#economia #internacional;"873403901923520512";https://twitter.com/ResumoAlargado/status/873403901923520512
minhaoperadora;2017-06-10 00:27;0;1;"Oi quer levantar R$ 8 bilhões em novo aumento de capital:  / economia dinheiro negócios investimento telecom";;;#economia #dinheiro #neg #investimento #telecompic;"873396280550182912";https://twitter.com/minhaoperadora/status/873396280550182912
minhaoperadora;2017-06-10 00:26;0;0;"Dívidas da Sercomtel acendem luz vermelha na Anatel:  / telefonia economia dinheiro telecom anatel sercomtel";;;#telefonia #economia #dinheiro #telecom #anatel #sercomtelpic;"873395846037069824";https://twitter.com/minhaoperadora/status/873395846037069824
GKellyGBernardo;2017-06-09 23:10;0;0;"Inflação aumenta para 0,31%, mas é a mais baixa para abril desde 2007 economia  via ";;@JornaldoBrasil;#economia;"873376825870876673";https://twitter.com/GKellyGBernardo/status/873376825870876673
portalR7;2017-06-09 22:30;16;21;"Brasil tem 60,1 milhões de pessoas com nome sujo, diz SPC  Economia ";;;#Economia;"873366613646602240";https://twitter.com/portalR7/status/873366613646602240
3RAIntercambio;2017-06-09 21:04;0;0;"Fazer compras em Vancouver é realmente tão mais caro do que no Brasil?  economia canada economizar estudarfora";;;#economia #canada #economizar #estudarfora;"873345043918139392";https://twitter.com/3RAIntercambio/status/873345043918139392
portaluai;2017-06-09 20:30;0;0;"Economia Meirelles comemora IPCA baixo e destaca retomada do poder de compra ";;;#Economia #Meirelles;"873336411902038017";https://twitter.com/portaluai/status/873336411902038017
24BrasilNoticia;2017-06-09 20:28;1;0;"Medo é grande, mas necessidade e paixão marcam empreendedores  notícias Economia ";;;#not #Economia;"873335912444420098";https://twitter.com/24BrasilNoticia/status/873335912444420098
elnuevoparquet;2017-06-09 20:27;0;1;"¿Os acordaís de esto? Lessons Learned About Lawyers  elnuevoparquet, bolsa,economía, forex, remember, oldpost";;;#elnuevoparquet #bolsa #econom #forex #remember #oldpost;"873335756298833920";https://twitter.com/elnuevoparquet/status/873335756298833920
cleuberdacunha;2017-06-09 20:19;0;0;"Economia Meirelles comemora IPCA baixo e destaca retomada do poder de compra  ";;;#Economia #Meirelles;"873333751903916033";https://twitter.com/cleuberdacunha/status/873333751903916033
em_com;2017-06-09 20:15;1;6;"Economia Meirelles comemora IPCA baixo e destaca retomada do poder de compra ";;;#Economia #Meirelles;"873332634872553473";https://twitter.com/em_com/status/873332634872553473
